,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,kathu,-10.07,-78.15,61.43,75,50,7.02,PE,1970-01-01
195,asau,57.05,-135.33,53.6,93,90,2.73,US,1970-01-01
196,saint-joseph,-2.32,-78.12,72.34,61,89,0.98,EC,1970-01-01
197,zhigansk,-17.71,-39.25,79.5,62,0,6.91,BR,1970-01-01
198,pangnirtung,22.89,-109.91,79.0,82,42,1.01,MX,1970-01-01
199,hirara,29.36,-100.9,71.6,94,1,4.5,US,1970-01-01
200,carnarvon,3.48,34.15,74.01,67,100,10.98,UG,1970-01-01
201,tubmanburg,-35.33,-72.42,49.19,71,100,2.82,CL,1970-01-01
202,bata,43.91,67.25,81.07,17,0,13.62,KZ,1970-01-01
203,aflu,7.53,-12.51,80.01,80,91,9.28,SL,1970-01-01
204,itarema,17.89,-77.59,79.74,75,0,3.6,JM,1970-01-01
205,gobabis,46.62,10.7,77.0,53,20,4.7,IT,1970-01-01
206,chokurdakh,-29.95,-71.34,51.8,76,90,3.36,CL,1970-01-01
207,komsomolskiy,22.68,-3.98,116.69,5,0,8.19,ML,1970-01-01
208,juneau,10.3,-3.25,86.92,63,81,6.44,BF,1970-01-01
209,comodoro rivadavia,40.66,23.61,84.0,62,25,8.01,GR,1970-01-01
210,bilma,14.69,-17.44,87.8,70,75,11.41,SN,1970-01-01
211,mnogovershinnyy,-0.95,-80.73,70.5,84,100,14.5,EC,1970-01-01
212,ballina,13.48,-88.18,75.88,91,19,2.13,SV,1970-01-01
213,ailigandi,16.78,94.73,79.36,88,100,5.37,MM,1970-01-01
214,bolungarvik,55.42,55.54,55.87,77,54,13.04,RU,1970-01-01
215,samarai,50.52,115.13,50.43,71,0,0.78,RU,1970-01-01
216,anaco,34.98,139.87,84.99,78,50,1.99,JP,1970-01-01
217,zholymbet,40.74,-74.17,71.01,93,20,6.93,US,1970-01-01
218,huarmey,63.75,-68.51,42.8,87,75,10.29,CA,1970-01-01
219,sitka,26.88,74.77,89.83,60,77,7.14,IN,1970-01-01
220,macas,63.92,127.47,53.24,52,92,6.69,RU,1970-01-01
221,caravelas,-33.38,148.02,53.01,73,72,5.14,AU,1970-01-01
222,cabo san lucas,38.42,-121.42,78.01,73,1,4.16,US,1970-01-01
223,del rio,-20.33,-40.29,79.0,74,75,10.29,BR,1970-01-01
224,umzimvubu,54.95,31.09,75.2,50,40,6.71,RU,1970-01-01
225,kaabong,31.67,20.25,93.06,34,0,17.07,LY,1970-01-01
226,constitucion,15.11,37.59,80.71,62,100,11.41,ER,1970-01-01
227,zhanakorgan,-18.25,-43.6,68.86,67,43,7.78,BR,1970-01-01
228,bonthe,50.15,-5.07,69.01,88,75,12.75,GB,1970-01-01
229,bull savanna,47.67,-52.73,63.0,93,90,8.05,CA,1970-01-01
230,lasa,37.72,-25.43,73.4,94,75,11.41,PT,1970-01-01
231,coquimbo,35.73,140.83,78.01,94,75,6.93,JP,1970-01-01
232,taoudenni,34.26,-88.7,71.6,88,75,3.04,US,1970-01-01
233,gaoua,65.58,-171.0,48.04,80,100,5.44,RU,1970-01-01
234,rentina,-41.41,175.52,52.0,71,100,4.7,NZ,1970-01-01
235,dakar,-2.63,31.31,86.74,26,37,6.85,TZ,1970-01-01
236,manta,32.3,-9.24,78.75,61,0,23.94,MA,1970-01-01
237,felidhoo,39.89,4.27,86.0,62,20,9.17,ES,1970-01-01
238,san miguel,-4.32,15.32,86.0,55,0,5.82,CD,1970-01-01
239,pathein,11.28,-15.83,81.09,82,8,12.48,GW,1970-01-01
240,birsk,-11.1,-77.61,61.03,74,38,6.85,PE,1970-01-01
241,nizhniy tsasuchey,70.98,25.97,48.2,93,75,6.93,NO,1970-01-01
242,tabulbah,57.79,-152.41,55.4,87,90,4.23,US,1970-01-01
243,tateyama,26.54,-77.06,84.34,65,9,6.4,BS,1970-01-01
244,newark,23.92,90.21,84.2,70,75,9.17,BD,1970-01-01
245,iqaluit,-33.87,121.9,51.8,100,75,12.75,AU,1970-01-01
246,parvatsar,38.73,-27.07,77.0,83,20,12.19,PT,1970-01-01
247,sangar,-38.27,141.97,45.84,93,100,11.63,AU,1970-01-01
248,forbes,24.68,116.14,78.24,86,100,1.88,CN,1970-01-01
249,laguna,4.85,31.58,82.67,71,100,6.58,SS,1970-01-01
250,vila velha,-37.83,140.77,48.2,93,90,10.29,AU,1970-01-01
251,rudnya,63.37,47.92,54.54,67,100,10.45,RU,1970-01-01
252,suluq,31.22,29.96,83.14,59,0,16.53,EG,1970-01-01
253,barentu,13.93,-84.4,75.27,95,34,2.51,NI,1970-01-01
254,diamantina,-37.88,147.98,52.0,73,8,9.06,AU,1970-01-01
255,falmouth,62.27,21.38,66.96,49,69,9.51,FI,1970-01-01
256,torbay,39.25,-8.01,84.99,56,100,5.01,PT,1970-01-01
257,vila franca do campo,28.23,83.98,76.05,85,64,1.97,NP,1970-01-01
258,hasaki,64.25,-15.21,53.28,84,0,9.48,IS,1970-01-01
259,tupelo,26.33,43.98,105.8,18,0,17.22,SA,1970-01-01
260,lavrentiya,44.9,-89.77,55.4,87,1,3.36,US,1970-01-01
261,waipawa,22.3,72.62,84.2,83,75,11.41,IN,1970-01-01
262,biharamulo,38.86,-104.7,73.4,58,20,4.7,US,1970-01-01
263,solovetskiy,-34.73,135.87,53.08,74,94,27.63,AU,1970-01-01
264,asfi,18.03,73.02,80.38,85,100,12.01,IN,1970-01-01
265,mao,48.29,4.05,75.2,53,75,9.17,FR,1970-01-01
266,kinshasa,34.64,-120.46,62.01,87,1,4.7,US,1970-01-01
267,bubaque,-9.17,-60.63,89.71,23,0,2.37,BR,1970-01-01
268,hualmay,-14.25,129.55,73.63,85,25,3.76,AU,1970-01-01
269,attawapiskat,50.6,97.52,58.3,67,31,3.22,RU,1970-01-01
270,honningsvag,65.44,52.15,48.99,96,100,8.7,RU,1970-01-01
271,amderma,4.14,96.13,81.12,76,99,4.27,ID,1970-01-01
272,kodiak,37.32,-8.8,78.85,61,8,12.91,PT,1970-01-01
273,marsh harbour,54.05,122.9,45.68,76,0,3.87,RU,1970-01-01
274,dhamrai,16.48,81.83,80.91,88,25,4.9,IN,1970-01-01
275,esperance,-19.55,169.27,69.8,94,20,5.82,VU,1970-01-01
276,praia da vitoria,13.0,15.73,93.58,45,1,6.46,TD,1970-01-01
277,codrington,68.75,161.3,41.11,91,95,7.92,RU,1970-01-01
278,jiaocheng,62.14,117.63,54.7,60,0,3.42,RU,1970-01-01
279,juba,27.92,96.17,77.34,85,8,3.78,IN,1970-01-01
280,mount gambier,-16.7,-151.02,78.1,78,0,13.4,PF,1970-01-01
281,blagoyevo,-51.62,-69.22,32.0,91,40,20.8,AR,1970-01-01
282,alexandria,32.31,54.02,100.4,18,0,4.7,IR,1970-01-01
283,rosita,49.75,-77.63,53.6,93,90,6.4,CA,1970-01-01
284,lakes entrance,-45.42,167.72,40.46,85,100,0.85,NZ,1970-01-01
285,kristiinankaupunki,55.04,-1.45,66.99,82,20,4.7,GB,1970-01-01
286,ponte de sor,-20.01,57.66,75.0,66,0,8.99,MU,1970-01-01
287,pokhara,-9.44,147.18,71.55,78,0,9.64,PG,1970-01-01
288,hofn,36.37,6.61,95.0,24,0,9.17,DZ,1970-01-01
289,buraydah,-2.02,147.27,81.36,81,41,8.79,PG,1970-01-01
290,marathon,48.6,133.82,61.02,92,1,8.16,RU,1970-01-01
291,khambhat,-5.14,119.42,77.0,73,20,4.7,ID,1970-01-01
292,cimarron hills,28.02,-105.28,71.1,54,100,3.74,MX,1970-01-01
293,port lincoln,43.32,145.57,59.83,90,100,7.09,JP,1970-01-01
294,srivardhan,5.61,-3.16,78.1,75,100,5.79,CI,1970-01-01
295,saint-andre-les-vergers,-31.95,141.43,59.0,30,40,11.41,AU,1970-01-01
296,lompoc,-17.93,19.77,84.13,13,0,8.95,NA,1970-01-01
297,aripuana,-9.88,-56.09,92.97,15,0,4.36,BR,1970-01-01
298,port keats,71.97,102.5,60.46,70,79,10.89,RU,1970-01-01
299,kungurtug,66.83,70.83,60.19,62,100,13.24,RU,1970-01-01
300,ust-tsilma,44.53,125.7,71.6,88,75,4.47,CN,1970-01-01
301,meulaboh,-33.04,-71.63,44.6,93,90,3.36,CL,1970-01-01
302,aljezur,64.92,77.78,68.41,59,39,10.0,RU,1970-01-01
303,urusha,20.35,-74.5,83.57,76,22,3.96,CU,1970-01-01
304,razole,64.75,177.48,37.4,56,0,4.47,RU,1970-01-01
305,isangel,5.56,95.32,81.73,78,10,10.13,ID,1970-01-01
306,massakory,20.5,-10.07,106.92,11,0,13.78,MR,1970-01-01
307,cherskiy,33.28,134.15,84.06,77,75,7.45,JP,1970-01-01
308,suntar,-28.77,114.6,51.8,87,75,4.7,AU,1970-01-01
309,tezu,63.84,-22.43,53.6,100,75,4.7,IS,1970-01-01
310,fare,60.72,-135.05,41.0,86,20,2.86,CA,1970-01-01
311,rio gallegos,50.59,107.6,56.16,70,1,3.2,RU,1970-01-01
312,ardakan,43.52,-114.32,66.2,39,1,10.29,US,1970-01-01
313,matagami,43.8,87.6,91.4,21,20,6.71,CN,1970-01-01
314,te anau,2.92,73.57,83.5,64,76,1.57,MV,1970-01-01
315,whitley bay,32.64,74.22,91.4,66,40,4.7,PK,1970-01-01
316,grand gaube,22.93,57.53,100.09,29,100,1.77,OM,1970-01-01
317,port moresby,37.08,41.22,104.0,7,0,6.93,TR,1970-01-01
318,constantine,20.89,-156.47,80.6,54,90,8.05,US,1970-01-01
319,lorengau,33.64,42.83,107.22,8,0,17.16,IQ,1970-01-01
320,smidovich,68.53,146.42,46.9,70,100,6.22,RU,1970-01-01
321,tabiauea,48.85,-54.01,60.8,87,90,21.92,CA,1970-01-01
322,makasar,49.63,117.32,49.28,69,0,3.47,RU,1970-01-01
323,saucillo,-14.54,40.67,84.2,48,40,11.41,MZ,1970-01-01
324,nemuro,-31.43,152.92,48.99,95,0,7.72,AU,1970-01-01
325,kuche,69.22,-51.1,48.2,53,40,3.36,GL,1970-01-01
326,ayame,41.54,-8.62,73.99,94,75,11.41,PT,1970-01-01
327,broken hill,-7.84,-79.15,62.2,71,60,4.34,PE,1970-01-01
328,rundu,64.89,-23.71,55.94,73,0,10.47,IS,1970-01-01
329,alta floresta,34.85,134.93,87.8,38,20,3.36,JP,1970-01-01
330,khatanga,63.9,122.76,56.16,59,100,4.54,RU,1970-01-01
331,yar-sale,-11.36,29.56,86.85,18,100,1.54,ZM,1970-01-01
332,dehui,45.62,122.82,66.99,79,100,14.36,CN,1970-01-01
333,valparaiso,21.12,70.12,82.22,84,100,20.54,IN,1970-01-01
334,tarko-sale,-14.66,17.69,90.81,10,0,6.31,AO,1970-01-01
335,dinsor,-31.54,-68.54,60.28,27,0,2.62,AR,1970-01-01
336,baracoa,-15.2,12.15,69.8,73,25,11.41,AO,1970-01-01
337,anadyr,62.23,-6.59,55.4,76,99,11.41,FO,1970-01-01
338,banda aceh,42.0,8.92,84.2,62,100,13.87,FR,1970-01-01
339,adrar,69.38,178.42,39.54,79,1,5.91,RU,1970-01-01
340,muroto,5.6,27.47,82.45,75,5,2.95,SS,1970-01-01
341,sinkat,13.59,-89.83,68.0,100,100,3.78,SV,1970-01-01
342,geraldton,35.83,10.64,89.6,58,0,10.29,TN,1970-01-01
343,grindavik,50.15,48.57,75.67,27,0,12.77,RU,1970-01-01
344,whitehorse,34.43,116.59,81.84,80,0,3.94,CN,1970-01-01
345,bichura,32.12,20.07,85.01,60,0,11.95,LY,1970-01-01
346,hailey,39.82,109.98,64.87,59,100,7.0,CN,1970-01-01
347,urumqi,-25.65,-54.7,68.0,100,75,8.05,PY,1970-01-01
348,muli,21.3,70.25,81.03,85,100,15.35,IN,1970-01-01
349,jalalpur,-34.0,24.73,48.69,76,100,30.11,ZA,1970-01-01
350,nizwa,15.03,120.69,81.0,88,100,3.36,PH,1970-01-01
351,nusaybin,-13.7,-76.22,61.0,87,90,3.36,PE,1970-01-01
352,kahului,-26.65,15.16,69.39,24,0,25.55,NA,1970-01-01
353,hit,16.33,-15.0,96.8,47,40,2.24,SN,1970-01-01
354,belaya gora,-14.41,-56.45,92.71,18,0,8.32,BR,1970-01-01
355,hare bay,-0.88,131.25,79.16,84,100,10.31,ID,1970-01-01
356,zabaykalsk,-24.13,19.12,59.76,31,0,15.46,NA,1970-01-01
357,nacala,49.58,0.33,78.01,68,55,8.05,FR,1970-01-01
358,port macquarie,15.8,-84.28,78.87,89,33,4.41,HN,1970-01-01
359,ilulissat,38.89,-76.51,73.0,73,1,4.7,US,1970-01-01
360,barcelos,33.85,-118.05,71.6,83,40,3.36,US,1970-01-01
361,chicama,50.17,8.57,79.0,41,40,10.29,DE,1970-01-01
362,olafsvik,-32.03,-52.1,51.8,87,90,9.06,BR,1970-01-01
363,ono,60.34,102.28,59.14,49,0,6.08,RU,1970-01-01
364,kysyl-syr,25.28,110.29,82.4,78,20,4.47,CN,1970-01-01
